date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-10-13 00:00:00+00:00,234.24,236.1,219.13,219.85,42551818,227.6177012286,229.4251163767,212.934882472,213.6345270454,42551818,0.0,1.0
2022-10-14 00:00:00+00:00,228.56,237.24,228.34,235.54,30198588,222.098282927,230.5328869513,221.8845026407,228.8809483751,30198588,0.0,1.0
2022-10-17 00:00:00+00:00,237.53,238.96,235.135,235.82,28142268,230.8146882379,232.204260099,228.4873983026,229.1530323759,28142268,0.0,1.0
2022-10-18 00:00:00+00:00,238.5,243.93,235.37,243.24,26329591,231.7572649549,237.033751113,228.7157545175,236.3632583967,26329591,0.0,1.0
2022-10-19 00:00:00+00:00,236.48,239.61,234.29,237.04,19985698,229.7943732349,232.8358836723,227.6662876574,230.3385412365,19985698,0.0,1.0
2022-10-20 00:00:00+00:00,236.15,241.31,234.87,235.77,21811015,229.4737028054,234.4878222485,228.2298902304,229.1044459472,21811015,0.0,1.0
2022-10-21 00:00:00+00:00,242.12,243.0,234.5,234.74,26299733,235.2749223936,236.1300435389,227.8703506579,228.1035655158,26299733,0.0,1.0
2022-10-24 00:00:00+00:00,247.25,247.84,241.295,243.76,24911212,240.2598899794,240.8332098382,234.4732463199,236.8685572553,24911212,0.0,1.0
2022-10-25 00:00:00+00:00,250.66,251.04,245.83,247.26,34775505,243.5734844176,243.9427412758,238.880035404,240.2696072652,34775505,0.0,1.0
2022-10-26 00:00:00+00:00,231.32,238.3,230.06,231.17,82684846,224.7802537919,231.56291924,223.5558757883,224.6344945057,82684846,0.0,1.0
2022-10-27 00:00:00+00:00,226.75,233.69,225.78,231.04,40424645,220.3394542076,227.0832505128,219.3968774906,224.5081697911,40424645,0.0,1.0
2022-10-28 00:00:00+00:00,235.87,236.6,226.05,226.24,40647724,229.2016188046,229.9109806638,219.6592442057,219.8438726348,40647724,0.0,1.0
2022-10-31 00:00:00+00:00,232.13,234.92,231.15,233.76,28357265,225.567353937,228.2784766591,224.6150599343,227.151271513,28357265,0.0,1.0
